depth (cm),age (yr BP) 2.5%,age (yr BP) 50%,age (yr BP) 97.5%
377,516.9331848552346,551.9331848552347,570.933184855235
378,518.5590200445441,553.258869636964,572.5590200445446
379,521.0723562152139,555.0723562152147,575.0723562152144
380,523.1335187760784,557.1335187760786,577.1335187760784
381,524.5243393602229,558.5243393602234,578.524339360223
382,526.3578767123295,560.3578767123297,580.3578767123291
383,528.9888579387195,562.98885793872,582.9888579387192
384,531.4403815580292,565.4403815580291,584.5838814580127
385,534.4261838440121,567.672496025438,587.4261838440124
386,536.6687898089181,569.776488445663,589.6687898089185
387,538.0935412026737,572.0935412026743,592.0935412026736
388,540.7193763919835,574.7193763919836,594.7193763919828
389,543.3441780821928,577.3441780821929,597.3441780821923
390,544.6542948038184,578.6542948038182,598.654294803818
391,545.4544841537429,579.4544841537428,599.4544841537427
392,546.5667655786373,580.5667655786367,600.5667655786361
393,548.8852739726041,582.8852739726035,602.8852739726033
394,551.7551113360344,584.888663967612,604.8886639676119
395,554.5485829959524,587.4273475337643,607.5485829959521
396,557.0696727019509,589.5821727019504,610.1643454039006
397,558.4742698191945,591.4742698191942,612.3337105692945
398,560.7623762376259,593.7623762376252,613.7623762376252
399,563.5663338112033,596.1135857461037,616.1135857461037
400,565.8709354120282,598.4409799554577,618.8819599109156
401,567.6015495580172,599.9803664921473,620.0124522785449
402,569.1602216267285,602.1614100185539,622.3437847866442
403,571.4885135135142,604.3126815101652,624.6634818659415
404,572.7681839084612,605.6799365211052,626.6058678348883
405,574.8846153846165,607.884615384617,628.9067307692329
406,577.3910939012588,609.3910939012592,630.4160939012595
407,578.6883116883126,610.6883116883132,631.7133116883138
408,581.421150278295,613.4211502782955,634.7138682745838
409,583.0708502024302,615.0708502024305,636.0708502024305
410,585.2178060413361,617.2178060413364,638.2178060413368
411,587.0181025002388,619.0183246073306,640.0183246073309
412,588.3313977746876,620.3477051460369,641.3477051460372
413,590.3830951873457,622.4025974025981,643.402597402599
414,591.7146632450358,623.905723862928,645.5462328767137
415,593.5306122448999,625.5306122448995,647.530612244899
416,595.2628062360824,627.2628062360818,649.2878062360815
417,598.3189128095964,629.9814814814843,651.9901335668201
418,600.0103857566781,632.0103857566777,654.0103857566774
419,601.353128313893,633.3531283138926,655.227907155216
420,602.723562152135,634.7235621521348,655.9200627380142
421,604.3713490959676,636.3713490959675,657.7429961008716
422,606.5792079207939,638.5792079207937,659.6042079207942
423,608.953441295548,640.9534412955475,662.9534412955476
424,609.9888663967618,641.9888663967615,663.9888663967616
425,612.7959246759035,644.4136125654463,666.7068062827232
426,614.6369863013707,645.7112057012932,668.6369863013709
427,615.9740420271946,646.9740420271951,669.9740420271949
428,619.0667903525056,650.0667903525059,672.156112436177
429,621.009554140129,652.0095541401295,674.0345541401304
430,623.4342984409811,654.4342984409811,677.4342984409811
431,625.4130737134917,656.4130737134917,679.2360890302073
432,627.0017603290914,657.8419528484608,680.0593100890223
433,627.4052298117767,658.4573665780757,681.218428722841
434,628.430476671288,659.4467408585064,681.7483704292533
435,629.5736085343236,660.773654916515,683.776484230059
436,631.8097165991919,663.0646790121068,685.9002036222498
437,634.5987261146515,665.5987261146522,688.6023749830629
438,638.6531376518229,668.6781376518232,692.3250975892715
439,640.6595708586432,671.028495102405,694.0724777448085
440,641.7973273942113,672.4871471184955,695.8223273942114
441,644.5697945682462,674.5779944289704,698.5019498607281
442,646.1446656051035,676.6292304893757,700.7146601575602
443,649.2193159788291,678.516574302135,703.4352226720664
444,651.5585106590717,681.2834008097193,706.0690741210611
445,652.9390328025221,682.9637002341927,707.5811996153263
446,653.9360299428445,684.8574610245005,709.8574610245008
447,655.9448237799407,687.7683741648137,712.4487374085252
448,657.8817802503489,689.8817802503488,713.8831843661017
449,659.7182628062369,691.3885350318537,716.1942675159264
450,662.5688718662977,693.5793871866323,718.5793871866322
451,665.853992813108,696.5477707006414,721.2807324840793
452,669.423661712672,700.4403815580299,725.5488857938766
453,670.5770258236872,702.1540516473747,726.6752081871772
454,671.5313765182193,703.0627530364388,727.5376089219387
455,672.3734353268434,703.9743372434166,728.3734353268435
456,673.5025380710698,705.0809484873269,729.5025380710714
457,674.8791423001958,706.7582846003916,730.9092421449017
458,676.2827067669181,707.9012828112086,732.2827067669185
459,677.9561243144434,709.2952331989334,733.9561243144437
460,680.4268216786138,712.1886456866746,736.8723113693369
461,682.3425559947309,713.685111989462,738.6851119894617
462,684.6288088642682,716.4618070295369,741.2576177285359
463,687.3988645058296,718.5134831460683,742.5216263867633
464,689.8836021505398,720.9086021505403,745.8172043010799
465,691.3993680884688,724.1419855795899,748.2022116903643
466,692.9593996840455,724.6966167498617,748.9921011058459
467,696.3208743842386,727.3374384236469,751.1695544554466
468,699.1910112359587,730.1910112359592,754.1957865168572
469,702.872727272732,732.9655172413804,756.9597727272745
470,704.8978296703305,736.4065934065976,760.4113169954232
471,708.7293398533021,739.7359413202948,764.4784841075843
472,712.2337662337725,743.1168831168867,768.1168831168857
473,716.3145539906129,745.7130101977594,770.3231220657309
474,717.3922651933706,746.7845303867413,771.2833249488
475,717.8945253641391,747.7240568470733,771.6460969703107
476,719.5156915534543,749.988764044946,773.9890180041691
477,721.7563451776672,751.7563451776673,776.4765934993419
478,722.9012961116659,752.9012961116659,776.9764803989754
479,725.3515208799195,754.93470546487,779.9347054648703
480,726.6494175516927,756.6156547881133,781.4771157767951
481,729.2294731610355,758.2544731610362,783.2544731610359
482,731.6522727272746,761.3215077605354,785.7523252074456
483,734.6819894068927,764.3412844036704,788.121461169311
484,736.1146153719483,766.1157635467996,790.1157635467999
485,738.5964912280718,768.5964912280717,792.2137130592929
486,740.406035665296,770.7225610890241,793.8233590397592
487,742.5663027634071,772.7671840354814,795.7671840354785
488,744.6093152475557,775.6197604790434,798.6352544910206
489,746.0868426703253,777.0319971870606,800.088664193634
490,746.2531698019393,777.2078059071731,800.2541810491309
491,746.4189110798045,777.3836146272856,800.4196979046279
492,746.5846523576698,777.5594233473981,800.5852147601248
493,746.750393635535,777.7352320675107,800.7507316156217
494,746.9161349134004,777.9110407876232,800.9162484711187
495,747.3533619456374,778.3533619456373,801.3621959942783
496,748.5059288537607,779.2529644268802,802.5246047430869
497,751.4280185758563,781.2167182662577,804.2386780269916
498,754.0044734394106,784.007800376213,807.0105900151316
499,755.931690719139,786.3355335533558,809.8890226628922
500,759.2438524590173,789.3934426229521,813.0741803278762
501,761.6481994459855,792.648199445985,818.2963988919697
502,765.2838235294129,796.2838235294132,821.5676470588255
503,767.1510574018205,798.0755287009097,824.0774169184317
504,770.2145869947279,800.2337434094911,826.4866432337449
505,771.103225806452,801.1032258064524,828.1058064516134
506,771.9096774193553,801.9096774193556,828.9324193548392
507,772.6284501061575,802.628450106158,829.6472831355329
508,773.5202628696617,803.5202628696618,830.5275486452971
509,775.903703703711,805.9037037037117,832.4518518518568
510,778.7359823239656,809.1552787504734,836.5443349753721
511,781.980607375415,812.010791366908,839.0322931654782
512,785.4258702531685,815.2227564102575,843.4398734177244
513,788.7099309349571,818.7191011235968,847.7191011235997
514,792.2390595903191,822.1210428305424,851.1240689013058
515,794.6979747948457,824.5692889493117,853.7162500000017
516,797.8309840425538,826.8351063829812,856.6743351063872
517,799.344860710856,828.3448607108562,857.7265044197658
518,801.2553191489415,830.255319148941,859.3014978425758
519,803.3612662942288,832.5242976867695,861.738500931104
520,805.364981504317,834.7299630086335,863.7398062861135
521,806.3065739570171,836.1732761700612,864.5683688148591
522,806.9386852085973,836.8773704171942,865.0074127393269
523,807.8841713629973,837.5451349431823,866.5115366587005
524,811.3784574468106,840.3936170212785,869.411215084325
525,812.955722132094,841.9684579439258,871.936915887853
526,813.9956235503706,843.0261660978399,873.0331219698437
527,815.0191103843158,844.510638297877,874.0335106383054
528,819.6920152091268,848.6920152091308,878.7075326983187
529,822.5951940850298,851.7326007326017,882.2005083179356
530,824.4433811802251,853.6469411859523,884.4433811802248
531,825.5516949152552,854.8817095070234,885.551694915255
532,826.9495967741966,855.9495967741965,886.9631096020934
533,829.5887536004201,859.4975124378116,889.33582089552306
534,831.796543200794,861.6081504702208,892.2167864910525
535,835.244552058115,865.2445520581141,896.5581336237099
